,Title,Most_Pronouns,Introduction,Stableness_Cases,Birth,Death
982,Unas,Male,"Unas /ˈjuːnəs/ or Wenis, also spelled Unis (Ancient Egyptian: wnjs, hellenized form Oenas /ˈiːnəs/ or Onnos), was a pharaoh, the ninth and last ruler of the Fifth Dynasty of Egypt during the Old Kingdom. Unas reigned for 15 to 30 years in the mid-24th century BC ( circa 2345-2315 BC ), succeeding Djedkare Isesi, who might have been his father.",Success,None,None
983,Princess Victoria of Hesse and by Rhine,Female,"Princess Victoria of Hesse and by Rhine, later Victoria Mountbatten, Marchioness of Milford Haven (Victoria Alberta Elisabeth Mathilde Marie; 5 April 1863 – 24 September 1950) was the eldest daughter of Louis IV, Grand Duke of Hesse and by Rhine (1837–1892), and his first wife Princess Alice of the United Kingdom (1843–1878), daughter of Queen Victoria and Prince Albert of Saxe-Coburg and Gotha.",Unknown,1863,1950
984,Queen Victoria,Female,"Victoria (Alexandrina Victoria; 24 May 1819 – 22 January 1901) was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death. On 1 May 1876, she adopted the additional title of Empress of India. Known as the Victorian era, her reign of 63 years and seven months was longer than that of any of her predecessors. It was a period of industrial, cultural, political, scientific, and military change within the United Kingdom, and was marked by a great expansion of the British Empire.",Success,1819,1901
985,Wallis Simpson,Female,"Wallis Simpson (born Bessie Wallis Warfield; 19 June 1896[1] – 24 April 1986), later known as the Duchess of Windsor, was an American socialite whose intended marriage to the British king Edward VIII caused a constitutional crisis that led to Edward's abdication.",Success,1896,None
986,Wiglaf of Mercia,Male,"Wiglaf (died 839) was King of Mercia from 827 to 829 and again from 830 until his death. His ancestry is uncertain: the 820s were a period of dynastic conflict within Mercia and the genealogy of several of the kings of this time is unknown. Wigstan, his grandson, was later recorded as a descendant of Penda of Mercia, so it is possible that Wiglaf was descended from Penda, one of the most powerful seventh-century kings of Mercia.",Success,None,None
987,Wihtred of Kent,Male,"Wihtred (Latin: Wihtredus) (c. 670 – 23 April 725) was king of Kent from about 690 or 691 until his death.  He was a son of Ecgberht I and a brother of Eadric.  Wihtred ascended to the throne after a confused period in the 680s, which included a brief conquest of Kent by Cædwalla of Wessex, and subsequent dynastic conflicts.  His immediate predecessor was Oswine, who was probably descended from Eadbald, though not through the same line as Wihtred.  Shortly after the start of his reign, Wihtred issued a code of laws—the Law of Wihtred—that has been preserved in a manuscript known as the Textus Roffensis.  The laws pay a great deal of attention to the rights of the Church (of the time period), including punishment for irregular marriages and for pagan worship.  Wihtred's long reign had few incidents recorded in the annals of the day.  He was succeeded in 725 by his sons, Æthelberht II, Eadberht I, and Alric.",Success,None,None
988,"Prince William, Duke of Gloucester",Male,"This article is about the son of Queen Anne. For the brother of King George III, see Prince William Henry, Duke of Gloucester and Edinburgh. For his son, see Prince William Frederick, Duke of Gloucester and Edinburgh. For the grandson of George V, see Prince William of Gloucester.",Success,1689,None
989,William III of England,Male,"William III (Dutch: Willem; 4 November 1650 – 8 March 1702),[2] also widely known as William of Orange, was sovereign Prince of Orange from birth, Stadtholder of Holland, Zeeland, Utrecht, Guelders and Overijssel in the Dutch Republic from the 1670s and King of England, Ireland and Scotland from 1689 until his death, co-reigning with his wife, Queen Mary II. Popular histories usually refer to their joint reign as that of William and Mary. As King of Scotland, he is known as William II.[3] He is sometimes informally known as ""King Billy"" in Northern Ireland and Scotland,[4] where his victory at the Battle of the Boyne in 1690 is still commemorated by Unionists and Ulster loyalists.",Success,1650,1702
990,William IV of the United Kingdom,Male,"William IV (William Henry; 21 August 1765 – 20 June 1837) was King of the United Kingdom of Great Britain and Ireland and King of Hanover from 26 June 1830 until his death in 1837. The third son of George III, William succeeded his elder brother George IV, becoming the last king and penultimate monarch of Britain's House of Hanover.",Success,1765,None
991,William the Conqueror,Male,"William I[a] (c. 1028[1] – 9 September 1087), usually known as William the Conqueror and sometimes William the Bastard,[2][b] was the first Norman King of England, reigning from 1066 until his death in 1087. He was a descendant of Rollo and was Duke of Normandy from 1035 onward. His hold was secure on Normandy by 1060, following a long struggle to establish his throne, and he launched the Norman conquest of England six years later. The rest of his life was marked by struggles to consolidate his hold over England and his continental lands and by difficulties with his eldest son, Robert Curthose.",Success,None,None
992,Władysław II Jagiełło,Male,"Jogaila (Jogaila), later Władysław II Jagiełło (Polish pronunciation: [vwaˈdɨswaf jaˈɡʲɛwːɔ] (listen))[nb 1] (c. 1352/1362 – 1 June 1434) was the Grand Duke of Lithuania (1377–1434) and then the King of Poland (1386–1434), first alongside his wife Jadwiga until 1399, and then sole King of Poland. He ruled in Lithuania from 1377. Born a pagan, in 1386 he converted to Catholicism and was baptized as Władysław in Kraków, married the young Queen Jadwiga, and was crowned King of Poland as Władysław II Jagiełło.[1] In 1387 he converted Lithuania to Christianity. His own reign in Poland started in 1399, upon the death of Queen Jadwiga, and lasted a further thirty-five years and laid the foundation for the centuries-long Polish–Lithuanian union. He was a member of the Jagiellonian dynasty in Poland that bears his name and was previously also known as the Gediminid dynasty in the Grand Duchy of Lithuania. The dynasty ruled both states until 1572,[nb 2] and became one of the most influential dynasties in late medieval and early modern Central and Eastern Europe.[2] During his reign, the Polish-Lithuanian state was the largest state in the Christian world.[3]",Success,1386,None
993,Wulfhere of Mercia,Male,"Wulfhere or Wulfar (died 675) was King of Mercia from 658 until 675 AD. He was the first Christian king of all of Mercia, though it is not known when or how he converted from Anglo-Saxon paganism. His accession marked the end of Oswiu of Northumbria's overlordship of southern England, and Wulfhere extended his influence over much of that region. His campaigns against the West Saxons led to Mercian control of much of the Thames valley. He conquered the Isle of Wight and the Meon valley and gave them to King Æthelwealh of the South Saxons. He also had influence in Surrey, Essex, and Kent. He married Eormenhild, the daughter of King Eorcenberht of Kent.",Success,None,None
994,Alexander II Zabinas,Male,"Alexander II Theos Epiphanes Nikephoros (Ancient Greek: Ἀλέξανδρος θεός Ἐπιφανής Νικηφόρος, surnamed Zabinas; c. 150 BC – 123 BC) was a Hellenistic Seleucid monarch who reigned as the King of Syria between 128 BC and 123 BC. His true parentage is debated; most ancient historians and the modern academic consensus maintain he was a pretender who claimed to be a Seleucid, either a son of Alexander I or an adopted son of Antiochus VII. His surname ""Zabinas"" is a Semitic name that is usually translated as ""the bought one"". It is possible, however, that Alexander II was a natural son of Alexander I, as the surname can also mean ""bought from the god"". The iconography of Alexander II's coinage indicates he based his claims to the throne on his descent from Antiochus IV, the father of Alexander I.",Success,None,None
995,Zenobia,Female,"Septimia Zenobia (Palmyrene:  (Btzby), pronounced Bat-Zabbai; c. 240 – c. 274 AD) was a third century queen of the Palmyrene Empire in Syria. Many legends surround her ancestry; she was probably not a commoner and she married the ruler of the city, Odaenathus. Her husband became king in 260, elevating Palmyra to supreme power in the Near East by defeating the Sassanians and stabilizing the Roman East. After Odaenathus' assassination, Zenobia became the regent of her son Vaballathus and held de facto power throughout his reign.",Success,None,None
996,Doc Adams,Male,"Daniel Lucius ""Doc"" Adams (November 1, 1814 – January 3, 1899) was an American baseball player and executive who is regarded by historians as an important figure in the sport's early years. For most of his career he was a member of the New York Knickerbockers. He first played for the New York Base Ball Club in 1840 and started his Knickerbockers career five years later, continuing to play for the club into his forties and to take part in inter-squad practice games and matches against opposing teams. Researchers have called Adams the creator of the shortstop position, which he used to field short throws from outfielders. In addition to his playing career, Adams manufactured baseballs and oversaw bat production; he also occasionally acted as an umpire.",Success,1814,1899
997,Nick Adenhart,Male,"Nicholas James Adenhart (August 24, 1986 – April 9, 2009) was an American right-handed baseball starting pitcher who played parts of two seasons in Major League Baseball (MLB) for the Los Angeles Angels of Anaheim. In four career games, Adenhart pitched 18 innings and posted a win-loss record of 1–0, with nine strikeouts and a 6.00 earned run average (ERA).",Success,None,None
